symbol,quarter_end_date,submission_date,window_label,promoter_pct,fii_pct,dii_pct,public_pct,source
BALMLAWRIE,30-JUN-2025,18-JUL-2025,Q1FY26,0.0,2.34,1.79,100.0,nse_xbrl
BALPHARMA,30-JUN-2025,10-JUL-2025,Q1FY26,50.86,0.15,,49.14,nse_xbrl
BALRAMCHIN,30-JUN-2025,21-JUL-2025,Q1FY26,42.87,11.99,28.02,57.13,nse_xbrl
BANARBEADS,30-JUN-2025,16-JUL-2025,Q1FY26,58.14,0.04,0.0,41.86,nse_xbrl
BANARISUG,30-JUN-2025,18-JUL-2025,Q1FY26,58.7,0.28,0.0,41.3,nse_xbrl
BANCOINDIA,30-JUN-2025,19-JUL-2025,Q1FY26,67.88,3.83,0.44,32.12,nse_xbrl
BANDHANBNK,30-JUN-2025,19-JUL-2025,Q1FY26,40.92,24.34,16.52,59.08,nse_xbrl
BANG,30-JUN-2025,18-JUL-2025,Q1FY26,67.87,0.0,,0.3213,screener
BANKBARODA,30-JUN-2025,15-JUL-2025,Q1FY26,63.97,8.08,19.06,36.03,nse_xbrl
BANKINDIA,30-JUN-2025,15-JUL-2025,Q1FY26,73.38,3.53,15.97,26.62,nse_xbrl
BANSALWIRE,30-JUN-2025,21-JUL-2025,Q1FY26,77.99,2.07,16.16,22.01,nse_xbrl
BANSWRAS,30-JUN-2025,21-JUL-2025,Q1FY26,54.19,8.61,,45.81,nse_xbrl
BASF,30-JUN-2025,16-JUL-2025,Q1FY26,73.33,5.34,6.29,26.67,screener
BATAINDIA,30-JUN-2025,17-JUL-2025,Q1FY26,50.16,6.89,29.34,49.84,nse_xbrl
BBL,30-JUN-2025,21-JUL-2025,Q1FY26,33.65,3.63,17.96,66.35,nse_xbrl
BBOX,30-JUN-2025,21-JUL-2025,Q1FY26,70.35,4.09,0.04,29.65,nse_xbrl
BBTC,30-JUN-2025,21-JUL-2025,Q1FY26,74.05,9.33,1.43,25.95,nse_xbrl
BBTCL,30-JUN-2025,17-JUL-2025,Q1FY26,73.76,,,27.94,screener
BCG,30-JUN-2025,05-JUL-2025,Q1FY26,18.38,8.0,0.0,81.62,nse_xbrl
BCLIND,30-JUN-2025,16-JUL-2025,Q1FY26,58.03,0.47,0.05,41.97,nse_xbrl
BDL,30-JUN-2025,18-JUL-2025,Q1FY26,74.93,3.77,10.1,25.07,nse_xbrl
BEARDSELL,30-JUN-2025,17-JUL-2025,Q1FY26,53.89,0.01,0.04,46.11,nse_xbrl
BECTORFOOD,30-JUN-2025,16-JUL-2025,Q1FY26,49.04,15.75,20.08,50.96,nse_xbrl
BEDMUTHA,30-JUN-2025,18-JUL-2025,Q1FY26,57.05,0.01,,42.95,nse_xbrl
BEL,30-JUN-2025,11-JUL-2025,Q1FY26,51.14,18.56,20.6,48.86,nse_xbrl
BEML,30-JUN-2025,18-JUL-2025,Q1FY26,54.03,5.67,18.79,45.97,nse_xbrl
BEPL,30-JUN-2025,15-JUL-2025,Q1FY26,57.47,1.43,0.13,42.53,nse_xbrl
BERGEPAINT,30-JUN-2025,18-JUL-2025,Q1FY26,74.98,5.6,10.45,25.02,nse_xbrl
BESTAGRO,30-JUN-2025,19-JUL-2025,Q1FY26,50.44,5.75,2.75,49.56,nse_xbrl
BETA,30-JUN-2025,09-JUL-2025,Q1FY26,66.73,0.9,0.26,33.27,nse_xbrl
BFINVEST,30-JUN-2025,15-JUL-2025,Q1FY26,74.13,0.74,0.02,25.87,nse_xbrl
BFUTILITIE,30-JUN-2025,17-JUL-2025,Q1FY26,56.72,1.55,0.15,43.28,nse_xbrl
BHAGCHEM,30-JUN-2025,15-JUL-2025,Q1FY26,19.74,0.05,2.89,80.26,nse_xbrl
BHARATFORG,30-JUN-2025,18-JUL-2025,Q1FY26,44.07,14.37,31.41,55.93,nse_xbrl
BHARATGEAR,30-JUN-2025,21-JUL-2025,Q1FY26,55.32,1.23,0.03,44.68,nse_xbrl
BHARATRAS,30-JUN-2025,08-JUL-2025,Q1FY26,74.99,0.56,2.74,25.01,nse_xbrl
BHARATSE,30-JUN-2025,17-JUL-2025,Q1FY26,74.66,0.03,0.11,25.34,nse_xbrl
BHARATWIRE,30-JUN-2025,21-JUL-2025,Q1FY26,41.27,2.71,2.61,58.73,nse_xbrl
BHARTIARTL,30-JUN-2025,21-JUL-2025,Q1FY26,51.25,26.72,19.21,48.68,nse_xbrl
BHARTIHEXA,30-JUN-2025,17-JUL-2025,Q1FY26,70.0,4.33,9.81,30.0,nse_xbrl
BHEL,30-JUN-2025,14-JUL-2025,Q1FY26,63.17,6.36,18.45,36.83,nse_xbrl
BIGBLOC,30-JUN-2025,16-JUL-2025,Q1FY26,72.81,0.21,0.0,27.33,screener
BIKAJI,30-JUN-2025,17-JUL-2025,Q1FY26,74.92,6.64,13.37,25.08,nse_xbrl
BIL,30-JUN-2025,21-JUL-2025,Q1FY26,59.89,7.73,0.0,40.11,nse_xbrl
BIOFILCHEM,30-JUN-2025,19-JUL-2025,Q1FY26,46.82,0.0,0.08,53.18,nse_xbrl
BIRLACORPN,30-JUN-2025,21-JUL-2025,Q1FY26,62.9,7.05,15.56,37.1,nse_xbrl
BIRLAMONEY,30-JUN-2025,08-JUL-2025,Q1FY26,73.53,0.03,0.05,26.47,nse_xbrl
BIRLANU,30-JUN-2025,18-JUL-2025,Q1FY26,40.57,2.06,0.11,59.43,nse_xbrl
BLACKBUCK,30-JUN-2025,18-JUL-2025,Q1FY26,27.43,20.52,13.49,72.57,nse_xbrl
BLAL,30-JUN-2025,10-JUL-2025,Q1FY26,54.03,0.23,8.21,45.97,nse_xbrl
