SYMBOL,COMPANY_NAME,SECTOR,SOURCE,LAST_UPDATED
MBLINFRA,MBL Infrastructure Limited,INFRASTRUCTURE,AUTO_V2,2026-06-06
MCL,Madhav Copper Limited,METALS,AUTO_V2,2026-06-06
MEDANTA,Global Health Limited,HEALTHCARE,AUTO_V2,2026-06-06
MEGASTAR,Megastar Foods Limited,FMCG,AUTO_V2,2026-06-06
MENONBE,Menon Bearings Limited,INDUSTRIAL_PRODUCTS,AUTO_V2,2026-06-06
METROPOLIS,Metropolis Healthcare Limited,DIAGNOSTICS,AUTO_V2,2026-06-06
MFSL,Max Financial Services Limited,FINANCIAL_SERVICES,AUTO_V2,2026-06-06
MGL,Mahanagar Gas Limited,OIL_GAS,AUTO_V2,2026-06-06
MHRIL,Mahindra Holidays & Resorts India Limited,HOSPITALITY,AUTO_V2,2026-06-06
MINDACORP,Minda Corporation Limited,AUTO_ANCILLARY,AUTO_V2,2026-06-06
MMP,MMP Industries Limited,INDUSTRIAL_MANUFACTURING,AUTO_V2,2026-06-06
MOHITIND,Mohit Industries Limited,INDUSTRIAL_MANUFACTURING,AUTO_V2,2026-06-06
MOL,Meghmani Organics Limited,CHEMICALS,AUTO_V2,2026-06-06
MOLDTECH,Mold-Tek Technologies Limited,IT,AUTO_V2,2026-06-06
MOREPENLAB,Morepen Laboratories Limited,PHARMA,AUTO_V2,2026-06-06
MOSCHIP,Moschip Technologies Limited,IT,AUTO_V2,2026-06-06
MOTHERSON,Samvardhana Motherson International Limited,AUTO_ANCILLARY,AUTO_V2,2026-06-06
MOTILALOFS,Motilal Oswal Financial Services Limited,FINANCIAL_SERVICES,AUTO_V2,2026-06-06
MPHASIS,MphasiS Limited,IT,AUTO_V2,2026-06-06
MRPL,Mangalore Refinery and Petrochemicals Limited,CHEMICALS,AUTO_V2,2026-06-06
MSPL,MSP Steel & Power Limited,POWER,AUTO_V2,2026-06-06
MTARTECH,Mtar Technologies Limited,IT,AUTO_V2,2026-06-06
MUNJALAU,Munjal Auto Industries Limited,INDUSTRIAL_MANUFACTURING,AUTO_V2,2026-06-06
MUTHOOTFIN,Muthoot Finance Limited,NBFC,AUTO_V2,2026-06-06
NACLIND,NACL Industries Limited,INDUSTRIAL_MANUFACTURING,AUTO_V2,2026-06-06
NAHARCAP,Nahar Capital and Financial Services Limited,FINANCIAL_SERVICES,AUTO_V2,2026-06-06
NAM-INDIA,Nippon Life India Asset Management Limited,AMC_WEALTH,AUTO_V2,2026-06-06
NATCOPHARM,Natco Pharma Limited,PHARMA,AUTO_V2,2026-06-06
NATIONALUM,National Aluminium Company Limited,METALS,AUTO_V2,2026-06-06
NAVINFLUOR,Navin Fluorine International Limited,SPECIALTY_CHEMICALS,AUTO_V2,2026-06-06
NAZARA,Nazara Technologies Limited,IT,AUTO_V2,2026-06-06
NCLIND,NCL Industries Limited,INDUSTRIAL_MANUFACTURING,AUTO_V2,2026-06-06
NDRAUTO,Ndr Auto Components Limited,AUTO_ANCILLARY,AUTO_V2,2026-06-06
NEAGI,Neelamalai Agro Industries Limited,INDUSTRIAL_MANUFACTURING,AUTO_V2,2026-06-06
NEOGEN,Neogen Chemicals Limited,CHEMICALS,AUTO_V2,2026-06-06
NEPHROPLUS,Nephrocare Health Services Limited,INSURANCE,AUTO_V2,2026-06-06
NESTLEIND,Nestle India Limited,FMCG,AUTO_V2,2026-06-06
NEULANDLAB,Neuland Laboratories Limited,PHARMA,AUTO_V2,2026-06-06
NEWGEN,Newgen Software Technologies Limited,IT,AUTO_V2,2026-06-06
NFL,National Fertilizers Limited,FERTILIZERS,AUTO_V2,2026-06-06
NH,Narayana Hrudayalaya Ltd.,HEALTHCARE,AUTO_V2,2026-06-06
NIACL,The New India Assurance Company Limited,INSURANCE,AUTO_V2,2026-06-06
NIBL,NRB Industrial Bearings Limited,INDUSTRIAL_PRODUCTS,AUTO_V2,2026-06-06
NIRAJISPAT,Niraj Ispat Industries Limited,INDUSTRIAL_MANUFACTURING,AUTO_V2,2026-06-06
NITIRAJ,Nitiraj Engineers Limited,CAPITAL_GOODS,AUTO_V2,2026-06-06
NIVABUPA,Niva Bupa Health Insurance Company Limited,INSURANCE,AUTO_V2,2026-06-06
NKIND,NK Industries Limited,INDUSTRIAL_MANUFACTURING,AUTO_V2,2026-06-06
NPST,Network People Services Technologies Limited,IT,AUTO_V2,2026-06-06
NRAIL,N R Agarwal Industries Limited,INDUSTRIAL_MANUFACTURING,AUTO_V2,2026-06-06
NSLNISP,NMDC Steel Limited,METALS,AUTO_V2,2026-06-06
NTPCGREEN,NTPC Green Energy Limited,RENEWABLE_ENERGY,AUTO_V2,2026-06-06
NUVAMA,Nuvama Wealth Management Limited,AMC_WEALTH,AUTO_V2,2026-06-06
NUVOCO,Nuvoco Vistas Corporation Limited,CEMENT,AUTO_V2,2026-06-06
NYKAA,FSN E-Commerce Ventures Limited,RETAIL,AUTO_V2,2026-06-06
OBEROIRLTY,Oberoi Realty Limited,REALTY,AUTO_V2,2026-06-06
OFSS,Oracle Financial Services Software Limited,FINANCIAL_SERVICES,AUTO_V2,2026-06-06
OMINFRAL,OM INFRA LIMITED,INFRASTRUCTURE,AUTO_V2,2026-06-06
OMNI,Omnitech Engineering Limited,CAPITAL_GOODS,AUTO_V2,2026-06-06
ONESOURCE,Onesource Specialty Pharma Limited,PHARMA,AUTO_V2,2026-06-06
ONGC,Oil & Natural Gas Corporation Limited,OIL_GAS,AUTO_V2,2026-06-06
ONWARDTEC,Onward Technologies Limited,IT,AUTO_V2,2026-06-06
ORCHPHARMA,Orchid Pharma Limited,PHARMA,AUTO_V2,2026-06-06
ORIENTCEM,Orient Cement Limited,CEMENT,AUTO_V2,2026-06-06
ORIENTELEC,Orient Electric Limited,CONSUMER_DURABLES,AUTO_V2,2026-06-06
