SYMBOL,COMPANY_NAME,STATUS
GNA,GNA Axles Limited,PENDING
GNRL,Gujarat Natural Resources Limited,PENDING
GOACARBON,Goa Carbon Limited,PENDING
GOCLCORP,GOCL Corporation Limited,PENDING
GOCOLORS,Go Fashion (India) Limited,PENDING
GODAVARIB,Godavari Biorefineries Limited,PENDING
GODFRYPHLP,Godfrey Phillips India Limited,PENDING
GODREJAGRO,Godrej Agrovet Limited,PENDING
GOKEX,Gokaldas Exports Limited,PENDING
GOKUL,Gokul Refoils and Solvent Limited,PENDING
GOKULAGRO,Gokul Agro Resources Limited,PENDING
GOLDIAM,Goldiam International Limited,PENDING
GOLDTECH,AION-TECH SOLUTIONS LIMITED,PENDING
GOODLUCK,Goodluck India Limited,PENDING
GOODYEAR,Goodyear India Limited,PENDING
GOPAL,Gopal Snacks Limited,PENDING
GOYALALUM,Goyal Aluminiums Limited,PENDING
GPIL,Godawari Power And Ispat limited,PENDING
GPPL,Gujarat Pipavav Port Limited,PENDING
GPTINFRA,GPT Infraprojects Limited,PENDING
GRADIENTE,Gradiente Infotainment Limited,PENDING
GRAPHITE,Graphite India Limited,PENDING
GRAUWEIL,Grauer & Weil India Limited,PENDING
GRAVITA,Gravita India Limited,PENDING
GREAVESCOT,Greaves Cotton Limited,PENDING
GREENPOWER,Orient Green Power Company Limited,PENDING
GRINFRA,G R Infraprojects Limited,PENDING
GRMOVER,GRM Overseas Limited,PENDING
GROBTEA,The Grob Tea Company Limited,PENDING
GROWW,Billionbrains Garage Ventures Limited,PENDING
GRPLTD,GRP Limited,PENDING
GRWRHITECH,Garware Hi-Tech Films Limited,PENDING
GSLSU,Global Surfaces Limited,PENDING
GSPCROP,GSP Crop Science Limited,PENDING
GTECJAINX,G-TEC JAINX EDUCATION LIMITED,PENDING
GTL,GTL Limited,PENDING
GTPL,GTPL Hathway Limited,PENDING
GUFICBIO,Gufic Biosciences Limited,PENDING
GUJTHEM,Gujarat Themis Biosyn Limited,PENDING
GULFOILLUB,Gulf Oil Lubricants India Limited,PENDING
GULFPETRO,GP Petroleums Limited,PENDING
GULPOLY,Gulshan Polyols Limited,PENDING
GVPIL,GE Power India Limited,PENDING
GVT&D,GE Vernova T&D India Limited,PENDING
HALDER,Halder Venture Limited,PENDING
HALDYNGL,Haldyn Glass Limited,PENDING
HALEOSLABS,HALEOS LABS LIMITED,PENDING
HAPPYFORGE,Happy Forgings Limited,PENDING
HARDWYN,Hardwyn India Limited,PENDING
HARRMALAYA,Harrisons  Malayalam Limited,PENDING
HARSHA,Harsha Engineers International Limited,PENDING
HATHWAY,Hathway Cable & Datacom Limited,PENDING
HATSUN,Hatsun Agro Product Limited,PENDING
HAWKINCOOK,Hawkins Cookers Limited,PENDING
HBESD,HB Estate Developers Limited,PENDING
HCC,Hindustan Construction Company Limited,PENDING
HCG,Healthcare Global Enterprises Limited,PENDING
HEADSUP,Heads UP Ventures Limited,PENDING
HEALTHX,Health X Platform Limited,PENDING
HECPROJECT,HEC Infra Projects Limited,PENDING
HEG,HEG Limited,PENDING
HEMIPROP,Hemisphere Properties India Limited,PENDING
HESTERBIO,Hester Biosciences Limited,PENDING
HEXATRADEX,Hexa Tradex Limited,PENDING
HFCL,HFCL Limited,PENDING
HGM,HandsOn Global Management (HGM) Limited,PENDING
HGS,Hinduja Global Solutions Limited,PENDING
HIKAL,Hikal Limited,PENDING
