symbol,opm_pct,roce_pct,book_value_per_share,total_equity_cr,equity_share_capital_cr,capital_employed_cr,ebitda_cr_latest,ebit_cr_latest,sales_growth_cagr_pct,sales_growth_years,as_of_date,data_quarters
UNIDT,16.27,5.94,137.73,279.64,,285.89,5.5151,4.245,-1.67,4.3,2024-12-31,19
UNIECOM,30.02,16.64,17.17,192.97,,208.89,9.827,8.688,41.69,0.5,2024-12-31,3
UNIENTER,-10.74,-0.11,351.82,2446.77,,2590.73,-0.5482,-0.7368,61.03,3.0,2024-12-31,18
UNIINFO,1.6,-1.08,29.76,31.82,,33.31,0.1277,-0.0903,-8.99,3.0,2024-12-31,13
UNIMECH,43.41,10.55,144.99,737.39,,779.02,23.3992,20.5467,,,2024-12-31,1
UNIPARTS,17.89,10.95,193.0,870.44,,973.17,37.267,26.633,-20.68,2.0,2024-12-31,9
UNIPLY,,,,,,,,,,,2020-12-31,3
UNITDSPR,9.22,27.5,123.09,8953.0,,9324.0,713.0,641.0,53.1,0.5,2024-12-31,4
UNITECH,-337.92,,,,,,-249.103,-250.6885,-30.79,5.3,2024-12-31,21
UNITEDPOLY,8.03,19.63,5.78,132.63,,182.57,12.2336,8.9585,-6.11,3.0,2024-12-31,13
UNITEDTEA,27.46,8.74,482.87,241.29,,249.07,6.2994,5.4394,7.68,4.3,2024-12-31,18
UNIVAFOODS,-18.5,-9.87,,,,0.15,-0.0037,-0.0037,-78.02,1.5,2024-12-31,9
UNIVASTU,21.49,16.03,66.7,80.01,,104.98,4.449,4.208,46.73,4.3,2024-12-31,16
UNIVCABLES,7.58,5.79,545.04,1891.01,,2728.78,46.0693,39.4663,19.61,4.3,2024-12-31,18
UNIVPHOTO,88.33,2.04,741.03,811.21,,823.93,4.24,4.21,-19.98,4.3,2024-12-31,19
UNOMINDA,11.12,14.15,118.28,6829.57,,8703.89,465.44,307.81,21.76,2.5,2024-12-31,11
UPL,18.8,9.01,410.88,34696.0,,60457.0,2050.0,1362.0,4.79,4.3,2024-12-31,19
URAVI,14.04,,,,,,1.5613,1.0152,-40.42,2.0,2024-09-30,7
URAVIDEF,13.05,5.71,44.61,50.85,,53.15,1.3079,0.7587,,,2024-12-31,1
URJA,2.69,0.75,3.17,176.67,,196.8,0.3859,0.3692,-18.98,4.3,2024-12-31,19
USHAMART,17.03,13.77,108.47,3301.93,,3516.21,146.59,121.02,12.66,4.3,2024-12-31,19
USK,11.67,4.92,30.77,170.31,,243.04,5.2248,2.991,-43.38,1.8,2024-12-31,8
UTIAMC,60.93,16.19,350.5,4504.63,,4703.57,200.55,190.33,6.04,4.0,2024-12-31,19
UTTAMSTL,2.82,,,,,,6.72,-50.6,14.19,1.7,2022-06-30,8
UTTAMSUGAR,14.43,18.53,229.83,876.53,,1064.57,61.26,49.32,0.12,4.3,2024-12-31,18
UYFINCORP,20.97,2.58,20.45,388.97,,413.66,3.1183,2.6699,,,2024-12-31,2
V2RETAIL,19.07,22.9,24.75,902.33,,1508.28,112.6792,86.3605,57.78,4.3,2024-12-31,19
VADILALIND,14.73,7.72,1182.96,850.31,,1061.87,30.03,20.49,12.53,4.3,2024-12-31,19
VAIBHAVGBL,22.91,8.64,98.68,1647.93,,1934.45,43.4537,41.7602,-23.69,4.3,2024-12-31,19
VAISHALI,8.72,13.25,4.98,64.92,,69.79,2.4347,2.3119,7.0,4.0,2024-12-31,18
