"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","INDICATIVE CLOSE 
","PREV. CLOSE 
","PREV. DAY 
 29-May-2026","1W AGO 
 22-May-2026","1M AGO 
 29-Apr-2026","1Y AGO 
 29-May-2025","52W H 
","52W L 
","30 D % CHNG 
","365 D % CHNG 
"
"NIFTY50 USD","8,529.40","0.69","8,470.30","8,543.15","8,400.10","-","8,470.33","-","-","-","-","-","-",-2.4,-14.66
"NIFTY500 FLEXICAP QUALITY 30","9,583.70","-0.19","9,655.05","9,676.70","9,557.90","-","9,602.35","9,583.70","9,728.80","9,732.45","-","-","-",-1.53,0
"NIFTY TOTAL MARKET MOMENTUM QUALITY 50","43,799.05","-0.36","44,137.80","44,214.00","43,608.25","-","43,957.85","43,799.05","44,617.85","43,414.50","-","-","-",0.89,0
"NIFTY COMMODITIES","10,103.30","-0.77","10,201.85","10,218.40","10,041.75","-","10,181.95","10,103.30","10,295.00","10,329.90","8,565.65","10,569.65","8,526.15",-2.19,17.73
"NIFTY INDIA CONSUMPTION","11,193.35","0.07","11,219.80","11,234.05","11,146.45","-","11,185.90","11,193.35","11,261.00","11,457.80","11,425.15","12,716.20","10,298.50",-2.31,-2.55
"NIFTY CPSE","6,906.15","-0.83","6,967.65","6,982.35","6,874.65","-","6,963.85","6,906.15","7,008.85","7,401.85","6,451.70","7,593.35","6,101.90",-6.7,6.08
"NIFTY ENERGY","40,346.10","-0.25","40,561.30","40,641.20","40,141.20","-","40,445.75","40,346.10","40,878.00","40,990.00","35,734.20","41,828.55","32,890.30",-1.57,12.62
"NIFTY INFRASTRUCTURE","9,182.25","-0.29","9,235.55","9,244.95","9,143.80","-","9,209.15","9,182.25","9,353.05","9,443.00","8,968.20","9,792.60","8,426.65",-2.76,1.79
"NIFTY100 LIQUID 15","7,052.05","-0.31","7,083.35","7,115.30","7,017.40","-","7,073.70","7,052.05","7,113.10","7,259.30","6,850.05","7,774.60","6,565.70",-2.85,2.28
"NIFTY MIDCAP LIQUID 15","16,160.60","-0.89","16,374.10","16,446.40","16,077.55","-","16,305.70","16,160.60","16,637.25","15,954.40","15,119.45","17,142.65","13,702.75",1.29,5.39
"NIFTY MNC","31,703.70","0.02","31,853.10","31,879.20","31,605.40","-","31,696.10","31,703.70","32,455.90","32,291.80","28,322.20","32,964.90","27,597.20",-1.82,11.66
"NIFTY PSE","10,080.45","-0.41","10,134.60","10,160.35","10,028.70","-","10,122.25","10,080.45","10,227.35","10,671.35","9,849.65","10,839.05","9,168.35",-5.54,1.92
"NIFTY SERVICES SECTOR","29,517.65","-0.23","29,667.70","29,781.95","29,402.35","-","29,586.00","29,517.65","29,685.15","30,091.90","32,446.35","34,549.75","28,232.65",-1.91,-9.5
"NIFTY100 ESG SECTOR LEADERS","3,920.25","-0.03","3,934.40","3,941.10","3,904.40","-","3,921.45","3,920.25","3,949.85","4,024.80","4,116.20","-","-",-2.6,-5.31
"NIFTY INDIA DIGITAL","7,814.05","-0.64","7,888.30","7,920.40","7,797.85","-","7,864.60","7,814.05","7,868.70","7,747.90","8,812.95","10,152.15","4,924.40",0.85,-12.45
"NIFTY100 ESG","4,800.10","0.23","4,805.40","4,820.90","4,777.25","-","4,788.95","4,800.10","4,821.35","4,856.20","4,833.50","-","-",-1.16,-1.01
"NIFTY INDIA MANUFACTURING","15,730.15","-0.38","15,847.70","15,861.05","15,679.80","-","15,790.90","15,730.15","15,889.90","15,709.55","14,138.10","-","-",0.13,10.76
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP 25% CAP","14,122.85","-1.05","14,326.00","14,354.00","14,046.40","-","14,273.20","14,122.85","14,200.40","14,590.85","15,301.20","18,764.95","13,218.65",-3.21,-7.97
"NIFTY500 MULTICAP INDIA MANUFACTURING 50:30:20","16,042.10","-0.29","16,143.25","16,155.50","15,994.40","-","16,088.65","16,042.10","16,192.15","16,188.05","14,778.60","16,649.05","12,294.45",-0.9,7.94
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","14,224.80","-0.15","14,287.10","14,306.50","14,170.15","-","14,245.65","14,224.80","14,423.20","14,474.95","13,973.45","15,154.10","11,537.35",-1.73,1.47
"NIFTY INDIA DEFENCE","9,072.80","0.06","9,094.60","9,167.50","9,031.55","-","9,067.30","9,072.80","9,107.50","9,093.20","8,868.55","9,487.75","5,025.35",-0.22,-0.01
"NIFTY INDIA TOURISM","7,323.80","-0.46","7,378.60","7,411.80","7,287.55","-","7,357.60","7,323.80","7,270.30","7,354.60","9,032.40","9,497.20","6,502.65",-0.42,-19.47
"NIFTY CAPITAL MARKETS","5,273.35","-1.40","5,369.60","5,418.65","5,222.30","-","5,348.20","5,273.35","5,473.80","5,329.10","4,409.50","5,697.10","2,885.10",-1.05,16.18
"NIFTY EV & NEW AGE AUTOMOTIVE","3,064.75","0.25","3,075.45","3,079.90","3,051.85","-","3,057.20","3,064.75","3,064.00","3,022.50","2,918.75","-","-",1.4,4.69
"NIFTY INDIA NEW AGE CONSUMPTION","10,896.95","-0.13","10,942.65","10,979.65","10,854.30","-","10,911.35","10,896.95","10,921.55","10,971.25","11,364.90","-","-",-0.68,-5.06
"NIFTY INDIA SELECT 5 CORPORATE GROUPS (MAATR)","38,545.25","0.01","38,730.50","38,816.30","38,312.05","-","38,539.80","38,545.25","38,885.75","38,728.75","35,511.35","-","-",-0.47,8.07
"NIFTY MOBILITY","21,465.25","-0.02","21,538.50","21,582.65","21,366.85","-","21,468.55","21,465.25","21,545.90","21,452.95","20,367.85","-","-",0.06,4.76
"NIFTY100 ENHANCED ESG","4,832.95","0.24","4,838.15","4,853.80","4,809.95","-","4,821.55","4,832.95","4,854.10","4,889.75","4,870.75","-","-",-1.16,-1.08
"NIFTY CORE HOUSING","14,799.35","-0.08","14,882.05","14,918.35","14,755.80","-","14,811.80","14,799.35","15,037.85","14,889.65","15,427.50","16,859.35","12,788.20",-0.61,-4.73
"NIFTY HOUSING","11,794.45","-0.09","11,836.75","11,873.50","11,722.70","-","11,805.05","11,794.45","11,975.30","11,974.25","11,178.40","12,244.25","9,839.70",-1.5,5.11
"NIFTY IPO","2,149.90","0.25","2,151.65","2,160.20","2,140.75","-","2,144.60","2,149.90","2,122.10","2,136.50","2,008.65","2,289.75","1,617.15",0.63,6.51
"NIFTY MIDSMALL INDIA CONSUMPTION","17,481.90","-0.19","17,601.00","17,630.95","17,448.65","-","17,514.55","17,481.90","17,587.90","17,899.75","19,132.45","20,923.30","15,614.35",-2.33,-8.79
"NIFTY NON-CYCLICAL CONSUMER","14,525.75","-0.09","14,566.10","14,588.60","14,468.45","-","14,538.35","14,525.75","14,584.90","14,853.60","15,740.20","16,983.45","13,311.10",-2.21,-8.44
"NIFTY RURAL","14,864.35","0.06","14,909.50","14,973.90","14,805.45","-","14,856.00","14,864.35","15,110.70","15,393.85","14,595.10","16,396.40","12,891.50",-3.44,1.84
"NIFTY SHARIAH 25","7,722.25","-0.25","7,789.10","7,795.20","7,698.65","-","7,741.65","7,722.25","7,836.85","7,813.50","8,096.20","8,663.60","7,121.55",-1.17,-4.96
"NIFTY TRANSPORTATION & LOGISTICS","23,815.40","0.13","23,877.05","23,932.35","23,691.80","-","23,785.25","23,815.40","23,869.00","23,793.00","22,580.50","26,459.70","18,482.85",0.09,4.87
"NIFTY50 SHARIAH","4,272.70","-0.47","4,321.15","4,324.40","4,265.10","-","4,292.75","4,272.70","4,307.75","4,345.60","4,671.75","5,145.60","4,082.25",-1.68,-9.03
"NIFTY500 SHARIAH","6,868.40","-0.31","6,927.90","6,932.35","6,851.10","-","6,889.55","6,868.40","6,915.20","6,864.30","7,026.75","7,624.10","6,004.55",0.06,-2.77
"NIFTY SME EMERGE","13,744.50","0.48","13,710.85","13,795.60","13,705.10","-","13,678.95","13,744.50","13,722.60","13,980.75","14,416.69","17,223.65","11,015.55",-1.69,-5.37
"NIFTY INDIA INTERNET","1,192.80","-0.16","1,193.75","1,208.15","1,187.00","-","1,194.70","1,192.80","1,212.10","1,221.35","-","1,501.90","1,056.45",-2.34,0
"NIFTY WAVES","1,957.05","2.07","1,927.70","1,977.00","1,926.55","-","1,917.35","1,957.05","1,925.30","1,961.40","2,186.42","2,789.80","1,581.05",-0.22,-10.61
"NIFTY INDIA INFRASTRUCTURE & LOGISTICS","11,985.85","-0.01","12,034.60","12,064.25","11,923.55","-","11,986.45","11,985.85","12,200.80","12,070.00","-","12,422.55","9,210.40",-0.7,0
"NIFTY INDIA RAILWAYS PSU","2,921.50","-0.08","2,930.30","2,945.15","2,903.55","-","2,923.70","2,921.50","2,958.90","3,277.70","3,970.63","4,005.50","2,744.60",-10.87,-26.65
"NIFTY CONGLOMERATE 50","14,483.05","-0.03","14,556.15","14,605.55","14,400.05","-","14,487.25","14,483.05","14,669.25","14,720.80","13,994.84","15,284.30","12,226.80",-1.62,3.14
"NIFTY 8-13 YR G-SEC","2,990.20","0.24","2,983.58","2,994.13","2,983.30","-","2,983.03","2,987.73","2,980.14","2,963.49","2,942.03","-","-",0.9,1.53
"NIFTY 10 YR BENCHMARK G-SEC","2,617.00","0.28","2,609.95","2,619.28","2,609.95","-","2,609.45","2,615.59","2,611.13","2,600.25","2,604.53","-","-",0.64,0.38
"NIFTY 10 YR BENCHMARK G-SEC (CLEAN PRICE)","867.40","0.27","865.05","868.16","865.05","-","865.06","866.93","866.45","866.79","922.12","-","-",0.07,-6.01
"NIFTY 4-8 YR G-SEC INDEX","3,277.79","0.65","3,257.02","3,280.00","3,257.02","-","3,256.46","3,274.72","3,253.00","3,246.44","3,173.72","-","-",0.97,3.21
"NIFTY 11-15 YR G-SEC INDEX","3,275.46","0.48","3,260.32","3,278.11","3,260.31","-","3,259.69","3,270.68","3,258.74","3,236.26","3,271.56","-","-",1.21,0.05
"NIFTY 15 YR AND ABOVE G-SEC INDEX","3,473.67","0.72","3,449.50","3,476.35","3,449.50","-","3,448.79","3,468.32","3,447.11","3,450.39","3,557.13","-","-",0.67,-2.42
"NIFTY COMPOSITE G-SEC INDEX","3,073.58","0.38","3,062.32","3,077.14","3,062.16","-","3,061.75","3,070.70","3,058.62","3,046.58","3,041.98","-","-",0.89,0.94
"NIFTY BHARAT BOND INDEX - APRIL 2030","1,575.61","0.07","1,574.73","1,575.61","1,574.73","-","1,574.41","1,583.41","1,570.87","1,569.38","1,529.33","-","-",0.4,2.93
"NIFTY BHARAT BOND INDEX - APRIL 2031","1,428.14","0.02","1,428.13","1,428.14","1,428.13","-","1,427.86","1,437.96","1,425.28","1,423.52","1,399.12","-","-",0.32,2.16
