symbol,company_name,industry_nse,index_name,index_slug,sector_hint,downloaded_date
TATACOMM,Tata Communications Ltd.,Telecommunication,NIFTY 200,nifty_200,,2026-06-30
TCS,Tata Consultancy Services Ltd.,Information Technology,NIFTY 200,nifty_200,,2026-06-30
TATACONSUM,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,NIFTY 200,nifty_200,,2026-06-30
TATAELXSI,Tata Elxsi Ltd.,Information Technology,NIFTY 200,nifty_200,,2026-06-30
TATAINVEST,Tata Investment Corporation Ltd.,Financial Services,NIFTY 200,nifty_200,,2026-06-30
TMCV,Tata Motors Ltd.,Capital Goods,NIFTY 200,nifty_200,,2026-06-30
TMPV,Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,NIFTY 200,nifty_200,,2026-06-30
TATAPOWER,Tata Power Co. Ltd.,Power,NIFTY 200,nifty_200,,2026-06-30
TATASTEEL,Tata Steel Ltd.,Metals & Mining,NIFTY 200,nifty_200,,2026-06-30
TECHM,Tech Mahindra Ltd.,Information Technology,NIFTY 200,nifty_200,,2026-06-30
TITAN,Titan Company Ltd.,Consumer Durables,NIFTY 200,nifty_200,,2026-06-30
TORNTPHARM,Torrent Pharmaceuticals Ltd.,Healthcare,NIFTY 200,nifty_200,,2026-06-30
TRENT,Trent Ltd.,Consumer Services,NIFTY 200,nifty_200,,2026-06-30
TIINDIA,Tube Investments of India Ltd.,Automobile and Auto Components,NIFTY 200,nifty_200,,2026-06-30
UPL,UPL Ltd.,Chemicals,NIFTY 200,nifty_200,,2026-06-30
ULTRACEMCO,UltraTech Cement Ltd.,Construction Materials,NIFTY 200,nifty_200,,2026-06-30
UNIONBANK,Union Bank of India,Financial Services,NIFTY 200,nifty_200,,2026-06-30
UNITDSPR,United Spirits Ltd.,Fast Moving Consumer Goods,NIFTY 200,nifty_200,,2026-06-30
VBL,Varun Beverages Ltd.,Fast Moving Consumer Goods,NIFTY 200,nifty_200,,2026-06-30
VEDL,Vedanta Ltd.,Metals & Mining,NIFTY 200,nifty_200,,2026-06-30
VMM,Vishal Mega Mart Ltd.,Consumer Services,NIFTY 200,nifty_200,,2026-06-30
IDEA,Vodafone Idea Ltd.,Telecommunication,NIFTY 200,nifty_200,,2026-06-30
VOLTAS,Voltas Ltd.,Consumer Durables,NIFTY 200,nifty_200,,2026-06-30
WAAREEENER,Waaree Energies Ltd.,Capital Goods,NIFTY 200,nifty_200,,2026-06-30
WIPRO,Wipro Ltd.,Information Technology,NIFTY 200,nifty_200,,2026-06-30
YESBANK,Yes Bank Ltd.,Financial Services,NIFTY 200,nifty_200,,2026-06-30
ZYDUSLIFE,Zydus Lifesciences Ltd.,Healthcare,NIFTY 200,nifty_200,,2026-06-30
