symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
PARASPETRO,EQ,-,1,Annual General Meeting,22-Sep-2009,-,24-Sep-2009,30-Sep-2009,-,Paras Petrofils Limited,INE162C01024,-,
GENESYS,EQ,-,5,Agm/Div-Rs.2/- Per Share,22-Sep-2009,-,24-Sep-2009,29-Sep-2009,-,Genesys International Corporation Limited,INE727B01018,-,
TPHQ,EQ,-,1,Annual General Meeting,22-Sep-2009,-,24-Sep-2009,29-Sep-2009,-,Teamo Productions HQ Limited,INE065J01016,-,
UNITDSPR,EQ,-,2,Agm/Div-Rs.2/- Per Share,22-Sep-2009,-,24-Sep-2009,30-Sep-2009,-,United Spirits Limited,INE854D01024,-,
RAJTV,EQ,-,5,Annual General Meeting,22-Sep-2009,-,24-Sep-2009,30-Sep-2009,-,Raj Television Network Limited,INE952H01019,-,
TIIL,EQ,-,10,Agm/Div-Re.0.50 Per Share,22-Sep-2009,-,24-Sep-2009,30-Sep-2009,-,Technocraft Industries (India) Limited,INE545H01011,-,
INDIABULLS,EQ,-,2,Agm/Div-Rs.2/- Per Share,22-Sep-2009,-,24-Sep-2009,30-Sep-2009,-,Indiabulls Financial Services Limited,INE894F01025,-,
OSWALGREEN,EQ,-,10,Annual General Meeting,22-Sep-2009,-,24-Sep-2009,30-Sep-2009,-,Oswal Greentech Limited,INE143A01010,-,
REMSONSIND,EQ,-,2,Annual General Meeting,22-Sep-2009,-,24-Sep-2009,30-Sep-2009,-,Remsons Industries Limited,INE474C01015,-,
MCDHOLDING,EQ,-,10,Annual General Meeting,22-Sep-2009,-,24-Sep-2009,30-Sep-2009,-,McDowell Holdings Limited,INE836H01014,-,
KOUTONS,EQ,-,10,Agm/Div-Re.1/- Per Share,22-Sep-2009,-,24-Sep-2009,30-Sep-2009,-,Koutons Retail India Limited,INE406I01014,-,
MONNETISPA,EQ,-,10,Agm/Div-Rs.5/- Per Share,22-Sep-2009,-,24-Sep-2009,30-Sep-2009,-,Monnet Ispat and Energy Limited,INE743C01013,-,
