symbol,forward_return_prob,forward_return_score
CYIENTDLM,0.4909,49.1
DABUR,0.4572,45.7
DAICHI,0.2089,20.9
DALBHARAT,0.5679,56.8
DALMIASUG,0.2865,28.7
DAMCAPITAL,0.5739,57.4
DAMODARIND,0.3166,31.7
DANGEE,0.2199,22.0
DATAMATICS,0.4056,40.6
DATAPATTNS,0.5347,53.5
DAVANGERE,0.2266,22.7
DBCORP,0.4875,48.8
DBEIL,0.2239,22.4
DBL,0.438,43.8
DBOL,0.3355,33.6
DBREALTY,0.2538,25.4
DBSTOCKBRO,0.3497,35.0
DCAL,0.6557,65.6
DCBBANK,0.4859,48.6
DCI,0.4946,49.5
DCM,0.186,18.6
DCMFINSERV,0.5132,51.3
DCMNVL,0.1598,16.0
DCMSHRIRAM,0.4639,46.4
DCMSIL,0.2089,20.9
DCMSRIND,0.3923,39.2
DCW,0.3841,38.4
DCXINDIA,0.4406,44.1
DDEVPLSTIK,0.3272,32.7
DECCANCE,0.676,67.6
DECNGOLD,0.5956,59.6
DEEDEV,0.3264,32.6
DEEPAKFERT,0.4606,46.1
DEEPAKNTR,0.6211,62.1
DEEPINDS,0.5133,51.3
DEFENCE,0.4447,44.5
DELHIVERY,0.51,51.0
DELPHIFX,0.3922,39.2
DELTACORP,0.1776,17.8
DELTAMAGNT,0.3587,35.9
DEN,0.2922,29.2
DENORA,0.4889,48.9
DENTA,0.3991,39.9
DEVIT,0.2004,20.0
DEVX,0.614,61.4
DEVYANI,0.3653,36.5
DGCONTENT,0.4766,47.7
DHAMPURSUG,0.3561,35.6
DHANBANK,0.4672,46.7
DHANI,0.3708,37.1
DHANUKA,0.4423,44.2
DHARMAJ,0.3599,36.0
DHRUV,0.4563,45.6
DHUNINV,0.6837,68.4
DIACABS,0.5595,56.0
DIAMINESQ,0.3497,35.0
DIAMONDYD,0.3989,39.9
DICIND,0.4357,43.6
DIFFNKG,0.5689,56.9
DIGIDRIVE,0.4784,47.8
DIGISPICE,0.4761,47.6
DIGITIDE,0.5313,53.1
DIGJAMLMTD,0.4691,46.9
DIL,0.3408,34.1
DISAQ,0.558,55.8
DISHTV,0.2912,29.1
DIVGIITTS,0.619,61.9
DIVIDEND,0.3058,30.6
DIVISLAB,0.4639,46.4
DIVOPPBEES,0.277,27.7
DIXON,0.4811,48.1
DJML,0.4904,49.0
DLF,0.4358,43.6
DLINKINDIA,0.5509,55.1
DMART,0.4962,49.6
DMCC,0.3991,39.9
DNAMEDIA,0.4071,40.7
DODLA,0.334,33.4
DOLATALGO,0.3382,33.8
DOLLAR,0.5167,51.7
DOLPHIN,0.2325,23.2
DOMS,0.4451,44.5
DONEAR,0.4662,46.6
DPABHUSHAN,0.7831,78.3
DPSCLTD,0.2283,22.8
DPWIRES,0.3929,39.3
DRAGARWQ,0.5482,54.8
DRCSYSTEMS,0.397,39.7
DREAMFOLKS,0.5375,53.7
DREDGECORP,0.5603,56.0
DRREDDY,0.5374,53.7
DSFCL,0.3897,39.0
DSSL,0.5618,56.2
DTIL,0.4059,40.6
DUCON,0.2946,29.5
DVL,0.4807,48.1
DWARKESH,0.3347,33.5
DYCL,0.4749,47.5
DYNAMATECH,0.5465,54.7
DYNPRO,0.3581,35.8
E2E,0.5603,56.0
EASEMYTRIP,0.3266,32.7
EBANKNIFTY,0.2161,21.6
EBBETF0430,0.3489,34.9
EBBETF0431,0.1998,20.0
EBBETF0433,0.2981,29.8
EBGNG,0.5313,53.1
ECAPINSURE,0.2485,24.8
ECLERX,0.7656,76.6
ECOSMOBLTY,0.6433,64.3
EDELWEISS,0.4674,46.7
EFCIL,0.5006,50.1
EGOLD,0.3236,32.4
EICHERMOT,0.405,40.5
EIDPARRY,0.6778,67.8
EIEL,0.4835,48.3
EIFFL,0.439,43.9
EIHAHOTELS,0.366,36.6
EIHOTEL,0.4192,41.9
EIMCOELECO,0.4397,44.0
EKC,0.32,32.0
ELANTAS,0.5239,52.4
ELCIDIN,0.4949,49.5
ELDEHSG,0.3255,32.5
ELECON,0.5194,51.9
ELECTCAST,0.3893,38.9
ELECTHERM,0.5281,52.8
ELGIEQUIP,0.553,55.3
