symbol,sector,bull_run_score,label,accumulation_score,ml_bull_run_score
PAISALO,FINANCIAL_SERVICES,52.7,EMERGING,41.636066,68.92
GLAXO,PHARMA,52.69,EMERGING,65.86338,73.96
LTF,FINANCIAL_SERVICES,52.64,EMERGING,42.3154,64.83
JAYAGROGN,CHEMICALS,52.63,EMERGING,16.888092,61.78
KINGFA,CAPITAL_GOODS,52.6,EMERGING,11.83683,60.42
KIMS,HEALTHCARE,52.6,EMERGING,49.620785,62.78
NAHARSPING,OTHER,52.6,EMERGING,8.847514,48.18
SMCGLOBAL,FINANCIAL_SERVICES,52.52,EMERGING,2.4028044,60.01
GOODLUCK,METAL,52.52,EMERGING,32.46502,61.54
GRANULES,PHARMA,52.52,EMERGING,36.62581,65.02
CINELINE,MEDIA,52.49,EMERGING,1.6566333,60.27
CARTRADE,RETAIL,52.49,EMERGING,61.085255,66.99
ALKEM,PHARMA,52.47,EMERGING,30.46752,64.65
RICOAUTO,AUTO,52.47,EMERGING,35.93101,66.95
KHAITANLTD,OTHER,52.45,EMERGING,0.18933249,53.93
M&M,HOSPITALITY,52.43,EMERGING,18.7655,62.16
KCPSUGIND,FMCG,52.42,EMERGING,96.173325,79.18
JAMNAAUTO,AUTO,52.42,EMERGING,20.915663,60.96
ANANTRAJ,REALTY,52.4,EMERGING,97.19101,79.7
WOCKPHARMA,PHARMA,52.37,EMERGING,98.09591,79.84
CONCOR,LOGISTICS,52.34,EMERGING,7.527519,60.85
TPLPLASTEH,CHEMICALS,52.34,EMERGING,79.24089,78.45
TINNARUBR,REALTY,52.34,EMERGING,99.66323,79.93
PRAVEG,HOSPITALITY,52.33,EMERGING,50.119297,73.76
TARSONS,HEALTHCARE,52.32,EMERGING,5.5013633,60.39
NETWEB,FMCG,52.31,EMERGING,85.781685,77.87
RML,AUTO,52.29,EMERGING,30.890045,63.25
NIBL,CAPITAL_GOODS,52.28,EMERGING,60.20512,76.15
63MOONS,IT,52.27,EMERGING,83.85737,78.86
INDGN,HEALTHCARE,52.27,EMERGING,5.853018,61.19
ASIANPAINT,CHEMICALS,52.2,EMERGING,33.32198,68.15
NIVABUPA,FINANCIAL_SERVICES,52.19,EMERGING,13.515934,61.04
TTKHLTCARE,DIVERSIFIED,52.18,EMERGING,4.4660206,60.26
FSL,IT,52.18,EMERGING,46.981495,75.24
NILKAMAL,FMCG,52.16,EMERGING,98.3113,79.62
TAKE,OTHER,52.16,EMERGING,0.14365734,56.9
GRAVISSHO,HOSPITALITY,52.15,EMERGING,85.46117,78.3
PNGJL,FMCG,52.12,EMERGING,34.597908,62.16
KROSS,AUTO,52.1,EMERGING,21.8061,62.66
ENDURANCE,AUTO,52.09,EMERGING,25.575579,63.13
HEROMOTOCO,AUTO,52.09,EMERGING,15.1254635,61.26
NITIRAJ,CAPITAL_GOODS,52.06,EMERGING,7.5570183,63.84
NEPHROPLUS,HEALTHCARE,52.04,EMERGING,11.697512,60.87
CANHLIFE,FINANCIAL_SERVICES,51.99,WATCHLIST,13.755123,62.34
UNOMINDA,AUTO,51.98,WATCHLIST,28.307026,70.61
INOXINDIA,CAPITAL_GOODS,51.98,WATCHLIST,7.1354814,61.09
AARNAV,TEXTILES,51.96,WATCHLIST,91.98206,79.07
IKS,IT,51.94,WATCHLIST,9.296827,60.65
APLAPOLLO,METAL,51.94,WATCHLIST,8.731135,60.25
OBEROIRLTY,REALTY,51.92,WATCHLIST,12.462076,60.7
AVADHSUGAR,OTHER,51.91,WATCHLIST,36.949055,62.66
TATACAP,FINANCIAL_SERVICES,51.87,WATCHLIST,23.34417,62.78
JSWINFRA,INFRASTRUCTURE,51.86,WATCHLIST,21.266504,63.47
MAHLOG,LOGISTICS,51.84,WATCHLIST,66.976906,77.05
NAM-INDIA,AMC,51.82,WATCHLIST,2.999347,60.32
SUNFLAG,METAL,51.74,WATCHLIST,69.95461,77.46
MANGLMCEM,CEMENT,51.73,WATCHLIST,44.53627,71.74
NATIONALUM,METAL,51.66,WATCHLIST,51.49356,63.83
E2E,IT,51.62,WATCHLIST,2.880697,29.99
FIEMIND,AUTO,51.62,WATCHLIST,13.524903,61.52
BALPHARMA,PHARMA,51.6,WATCHLIST,6.3569794,61.34
PYRAMID,CHEMICALS,51.55,WATCHLIST,15.635284,62.93
