symbol,rvol,rs_30d,delivery_5d_pct,vs_dma_50,as_of
UNIINFO,0.12,,90.3,-5.88,20260817
UNIMECH,1.09,19.3,48.3,22.9,20260817
UNIONBANK,1.08,14.7,50.5,9.45,20260817
UNIPARTS,0.91,17.53,54.3,14.24,20260817
UNITDSPR,0.41,14.6,62.1,9.67,20260817
UNITECH,1.05,-10.03,69.3,-12.8,20260817
UNITEDTEA,1.19,0.08,81.0,-4.92,20260817
UNIVCABLES,1.12,46.85,44.2,33.33,20260817
UNOMINDA,1.6,13.14,51.7,10.11,20260817
UPL,0.61,-6.62,55.9,-4.9,20260817
URBANCO,0.38,11.57,44.1,8.44,20260817
URJA,0.51,2.88,60.8,-2.47,20260817
USHAMART,0.48,2.33,54.9,0.05,20260817
USK,0.84,1.19,75.7,-4.55,20260817
UTIAMC,0.18,-0.35,61.9,-2.81,20260817
UTKARSHBNK,0.51,-3.94,61.5,-1.89,20260817
UTLSOLAR,3.77,30.04,43.4,29.04,20260817
UTTAMSUGAR,3.48,23.43,39.8,18.8,20260817
V2RETAIL,1.32,1.27,50.2,-2.56,20260817
VADILALIND,1.91,12.04,38.0,11.45,20260817
VAIBHAVGBL,0.73,-7.24,50.8,-7.66,20260817
VAISHALI,0.6,,74.8,21.75,20260817
VAKRANGEE,0.83,0.43,63.0,-3.78,20260817
VALIANTLAB,0.24,,100.0,40.45,20260817
VAML,0.53,-0.4,57.2,,20260817
VARDMNPOLY,0.28,-0.36,76.7,-5.64,20260817
VARROC,0.45,31.29,35.6,26.94,20260817
VASCONEQ,0.16,,56.5,-9.53,20260817
VASWANI,6.54,-8.1,63.3,-11.79,20260817
VBL,0.3,-4.24,56.9,-9.69,20260817
VCL,1.27,52.77,82.6,39.37,20260817
VEDL,0.6,7.35,46.0,-3.07,20260817
VEDPOWER,0.41,-4.2,46.0,,20260817
VEEDOL,0.74,7.79,52.5,5.14,20260817
VENKEYS,0.26,6.17,40.6,4.02,20260817
VENTIVE,0.63,-0.7,66.2,-4.95,20260817
VENUSPIPES,0.94,-9.17,52.7,-2.74,20260817
VERANDA,0.85,6.73,40.0,-1.73,20260817
VESUVIUS,1.03,-3.16,53.1,-3.9,20260817
VGL,0.67,-1.63,70.6,-7.88,20260817
VGUARD,0.75,16.96,60.4,11.73,20260817
VHL,0.54,0.33,61.7,-0.96,20260817
VIDHIING,0.94,10.17,67.4,6.25,20260817
VIDYAWIRES,0.72,-2.48,56.4,-5.91,20260817
VIJAYA,0.56,9.43,42.9,11.06,20260817
VIKASECO,0.96,-4.07,51.9,-7.63,20260817
VIKASLIFE,0.87,-6.79,59.4,-10.22,20260817
VIKRAMSOLR,11.68,-3.26,36.2,-3.54,20260817
VIKRAN,0.76,-11.93,42.4,-12.92,20260817
VIMTALABS,0.18,13.22,44.4,7.07,20260817
VINATIORGA,0.76,4.49,63.4,1.5,20260817
VINCOFE,0.97,-6.07,42.5,-5.61,20260817
VINDHYATEL,0.49,37.74,44.4,18.45,20260817
VINEETLAB,0.66,,71.9,14.5,20260817
VINNY,0.57,1.84,78.5,-2.75,20260817
VINYLINDIA,0.42,-3.05,68.2,-4.94,20260817
VIPCLOTHNG,0.17,,,-1.15,20260817
VIPIND,0.99,3.97,49.8,-1.9,20260817
VIRINCHI,0.98,0.18,82.3,-4.87,20260817
VISAKAIND,0.75,14.37,47.9,11.5,20260817
VISHNU,0.67,2.39,63.3,1.79,20260817
VISHWARAJ,0.99,2.77,72.8,-1.1,20260817
VISL,1.35,12.61,39.1,,20260817
VIVIDHA,0.46,4.69,68.0,0.0,20260817
VIYASH,1.15,-6.22,49.8,-5.12,20260817
VLSFINANCE,1.19,4.8,54.3,1.94,20260817
VMART,0.33,8.69,56.6,3.43,20260817
VMM,0.93,-3.42,57.5,-7.44,20260817
VMSTMT,0.54,,37.7,14.15,20260817
VOEPL,0.39,6.94,49.3,,20260817
VOGL,0.6,6.17,29.7,,20260817
VOLTAMP,0.2,9.19,48.9,2.04,20260817
VOLTAS,5.41,-5.01,42.0,-3.34,20260817
VPRPL,0.64,,47.2,-9.91,20260817
VRAJ,0.8,-14.1,60.9,-1.45,20260817
VRLLOG,0.27,31.59,55.6,18.29,20260817
VSSL,1.33,24.34,44.5,22.11,20260817
VSTIND,0.39,-6.01,67.6,-11.55,20260817
VSTL,1.27,-1.33,69.4,-5.67,20260817
VSTTILLERS,0.75,1.27,53.1,0.25,20260817
VTL,0.4,-2.04,53.7,-3.22,20260817
WAAREEENER,0.46,-1.59,44.5,-4.89,20260817
WAAREEINDO,0.43,-19.81,56.3,-17.66,20260817
WAAREERTL,0.54,-7.82,53.4,-6.94,20260817
WABAG,0.71,-4.86,45.4,-3.22,20260817
WAKEFIT,0.16,-1.73,33.9,-0.56,20260817
WALCHANNAG,1.47,-7.61,46.5,-10.26,20260817
WANBURY,0.43,-24.18,37.3,-12.67,20260817
WCIL,1.71,-4.77,60.8,-6.65,20260817
WEALTH,1.46,-6.38,81.7,-8.07,20260817
WEBELSOLAR,2.47,-13.87,54.6,-16.7,20260817
WEIZMANIND,0.46,0.61,62.7,-4.0,20260817
WEL,0.42,46.46,32.4,35.38,20260817
WELCORP,0.3,14.53,60.4,18.37,20260817
WELENT,0.47,-6.16,53.5,-3.1,20260817
WELSPLSOL,0.35,-6.48,64.2,-8.43,20260817
WELSPUNLIV,1.91,4.8,35.0,4.83,20260817
WENDT,0.56,6.99,55.4,3.64,20260817
WESTLIFE,0.53,25.29,53.0,15.93,20260817
WEWIN,0.01,,,-6.96,20260817
WEWORK,0.98,-0.01,52.5,1.57,20260817
WHEELS,0.59,-1.65,52.6,-5.53,20260817
WHIRLPOOL,0.29,2.8,59.4,-1.91,20260817
WILLAMAGOR,0.63,-0.45,85.0,-4.59,20260817
WINDLAS,0.38,12.55,37.9,8.91,20260817
WINDMACHIN,0.16,0.73,59.8,-1.2,20260817
WIPL,3.61,4.72,80.4,-0.31,20260817
WIPRO,0.33,5.11,46.5,1.46,20260817
WOCKPHARMA,0.52,3.96,41.5,-1.14,20260817
WONDERLA,0.88,2.44,65.6,-2.38,20260817
WORTHPERI,0.46,11.71,68.1,11.18,20260817
WPIL,0.59,-1.88,61.5,-4.76,20260817
WSI,1.72,1.42,52.4,-4.89,20260817
WSTCSTPAPR,0.42,17.83,43.6,11.6,20260817
XCHANGING,0.96,-2.6,60.5,-4.5,20260817
XELPMOC,1.65,-1.61,81.7,-4.95,20260817
XPROINDIA,0.28,-18.38,57.7,-15.85,20260817
XTGLOBAL,0.32,8.13,38.6,-0.4,20260817
YASHO,0.67,48.16,54.0,35.19,20260817
YATHARTH,0.64,0.86,49.5,-0.11,20260817
YATRA,0.53,7.28,29.5,4.13,20260817
YESBANK,1.06,-0.72,55.0,-2.72,20260817
YUKEN,0.35,11.41,66.2,10.73,20260817
ZAGGLE,10.54,-21.0,53.7,-21.87,20260817
ZEEL,1.65,1.87,25.0,-0.26,20260817
ZEEMEDIA,2.69,21.35,50.4,19.31,20260817
ZENITHEXPO,0.72,1.57,60.3,-0.59,20260817
ZENITHSTL,1.08,1.69,82.3,-2.84,20260817
ZENSARTECH,0.27,-4.89,38.9,1.14,20260817
ZENTEC,0.87,5.8,39.2,4.3,20260817
ZFCVINDIA,0.64,15.35,60.2,6.08,20260817
ZFSTEERING,0.3,0.68,67.4,-0.53,20260817
ZIMLAB,0.92,,,48.95,20260817
ZODIAC,0.23,,62.2,-2.08,20260817
ZODIACLOTH,2.2,-2.49,79.8,-2.55,20260817
ZOTA,2.28,-16.11,67.5,-14.91,20260817
ZSARACOM,0.61,4.53,49.1,14.78,20260817
ZUARI,0.69,-2.38,43.2,-2.69,20260817
ZUARIIND,0.9,-0.66,56.3,-1.35,20260817
ZYDUSLIFE,1.25,0.83,45.5,0.86,20260817
ZYDUSWELL,0.34,-12.47,42.9,-6.82,20260817
