symbol,rvol,rs_30d,delivery_5d_pct,vs_dma_50,as_of
BOMDYEING,0.61,-6.35,44.4,-9.1,20260817
BONLON,1.27,5.91,69.6,-0.12,20260817
BORANA,0.51,1.42,59.8,0.7,20260817
BOROLTD,3.46,3.49,51.1,4.02,20260817
BORORENEW,0.52,-4.11,48.6,-2.53,20260817
BOROSCI,0.35,-14.7,61.2,-13.87,20260817
BOSCH-HCIL,1.05,30.41,43.8,20.94,20260817
BOSCHLTD,0.71,17.02,32.8,13.57,20260817
BPCL,0.83,4.26,56.6,1.7,20260817
BPL,0.81,-9.68,59.8,-7.93,20260817
BRIGADE,1.24,9.77,39.1,8.72,20260817
BRIGHOTEL,1.66,0.75,68.3,-2.04,20260817
BRITANNIA,0.58,6.73,55.1,3.0,20260817
BRNL,0.33,-0.12,70.0,-3.7,20260817
BSE,2.24,-6.81,41.7,-10.92,20260817
BSHSL,0.3,,,-2.21,20260817
BSL,1.23,0.87,65.4,-1.97,20260817
BSOFT,0.32,10.03,51.0,2.6,20260817
BTML,0.73,46.2,70.0,34.59,20260817
BUILDPRO,0.3,2.86,55.5,7.29,20260817
BUTTERFLY,0.39,-12.21,55.9,-5.72,20260817
BVCL,0.97,-0.94,75.0,-2.76,20260817
CALSOFT,2.49,,,91.62,20260817
CAMLINFINE,9.03,-5.89,36.7,-11.12,20260817
CAMPUS,0.57,-1.08,47.0,-4.53,20260817
CAMS,1.04,6.12,52.8,-0.76,20260817
CANBK,0.54,6.9,41.3,1.75,20260817
CANFINHOME,0.67,-7.19,59.3,-4.89,20260817
CANHLIFE,0.07,-0.26,52.5,2.7,20260817
CANTABIL,0.75,-4.88,57.0,-1.5,20260817
CAPACITE,0.32,-4.09,56.5,-7.44,20260817
CAPILLARY,0.08,9.09,48.0,3.07,20260817
CAPITALSFB,0.33,-3.18,62.0,-3.04,20260817
CAPLIPOINT,0.89,-2.83,41.4,0.08,20260817
CARBORUNIV,0.76,6.22,47.4,1.55,20260817
CARERATING,1.72,4.79,53.5,1.8,20260817
CARRARO,0.44,-7.1,54.4,-4.94,20260817
CARTRADE,0.15,2.21,43.9,3.97,20260817
CARYSIL,1.11,-3.03,49.4,-1.59,20260817
CASTROLIND,0.43,4.36,66.6,1.11,20260817
CCAVENUE,0.47,-10.02,54.1,-5.88,20260817
CCCL,0.39,-2.17,66.2,-1.89,20260817
CCHHL,0.71,-0.54,68.8,-1.72,20260817
CCL,0.5,-2.71,54.0,-3.12,20260817
CDSL,0.95,-1.04,41.4,1.74,20260817
CEATLTD,0.63,-3.0,46.7,1.45,20260817
CEIGALL,0.69,-7.24,55.3,-10.88,20260817
CEINSYS,1.08,-11.19,41.0,-11.86,20260817
CELEBRITY,1.77,-3.82,68.8,-7.48,20260817
CELLO,0.17,2.5,43.6,0.46,20260817
CEMPRO,1.54,-14.78,57.4,-2.6,20260817
CENTENKA,0.2,8.08,57.7,4.2,20260817
CENTEXT,1.98,22.54,56.3,10.09,20260817
CENTRALBK,0.77,-1.34,53.9,-1.7,20260817
CENTRUM,1.38,1.71,49.3,2.45,20260817
CENTUM,4.03,-6.93,51.9,-7.09,20260817
CENTURYPLY,0.38,-2.08,56.3,-2.42,20260817
CERA,0.43,-2.62,60.6,-6.38,20260817
CESC,1.69,5.31,43.7,2.26,20260817
CEWATER,4.31,-11.21,53.1,-9.53,20260817
CGCL,0.63,-9.84,29.1,-1.96,20260817
CGPOWER,0.55,0.26,46.2,-0.94,20260817
CHALET,0.9,-0.36,59.4,3.38,20260817
CHAMBLFERT,0.91,-1.03,61.5,-4.27,20260817
CHEMBOND,0.17,,,19.12,20260817
CHEMFAB,0.32,,,-3.37,20260817
CHEMPLASTS,0.15,-5.44,38.8,-8.81,20260817
CHENNPETRO,0.76,14.18,23.6,14.73,20260817
CHEVIOT,0.15,5.42,62.7,2.84,20260817
CHOICEIN,0.44,2.42,35.5,3.79,20260817
CHOLAFIN,0.49,8.11,65.1,6.53,20260817
CHOLAHLDNG,0.6,3.59,49.8,-0.33,20260817
CIEINDIA,0.21,-10.2,58.7,-7.37,20260817
CIFL,0.24,-2.44,70.9,-6.77,20260817
CINELINE,0.44,19.22,80.1,8.11,20260817
CINEVISTA,1.06,1.17,81.8,-4.33,20260817
CIPLA,0.57,2.91,67.2,0.02,20260817
CLEAN,0.8,12.1,49.7,8.86,20260817
CLEANMAX,0.2,-1.02,46.2,-6.23,20260817
CLSEL,0.32,3.63,50.2,-0.97,20260817
CMLL,0.1,,35.6,,20260817
CMPDI,0.64,-8.17,49.4,-6.46,20260817
CMRGREEN,0.95,-0.68,48.1,,20260817
CMSINFO,1.84,-2.36,61.8,-8.62,20260817
CNL,0.07,39.25,40.6,40.26,20260817
COALINDIA,0.7,-1.65,70.4,-5.22,20260817
COASTCORP,0.39,-19.34,59.3,-14.8,20260817
COCHINSHIP,1.84,6.39,34.0,0.98,20260817
COCKERILL,0.83,-6.34,37.8,-8.16,20260817
COFORGE,0.33,20.76,51.0,15.7,20260817
COHANCE,1.81,3.45,42.9,1.67,20260817
COLPAL,0.34,0.92,54.6,-3.85,20260817
COMFINTE,0.41,20.85,66.5,9.02,20260817
COMPUSOFT,0.53,3.99,86.4,-0.23,20260817
COMSYN,0.28,52.73,35.1,44.49,20260817
CONCOR,0.24,9.75,41.7,7.79,20260817
CONCORDBIO,3.17,15.33,44.6,13.5,20260817
CONFIPET,0.29,-1.18,41.5,-3.1,20260817
CONTROLPR,0.22,-9.35,64.9,-7.5,20260817
CORALFINAC,2.57,9.93,41.6,4.86,20260817
CORDELIA,4.96,3.45,48.9,,20260817
COROMANDEL,0.87,6.51,53.5,3.76,20260817
CORONA,0.21,5.1,53.3,6.25,20260817
COSMOFIRST,1.21,16.76,54.3,15.29,20260817
CPCAP,0.76,,46.3,39.33,20260817
CPEDU,0.25,11.51,70.8,5.14,20260817
CPL,2.37,,33.2,,20260817
CPPLUS,2.9,-9.25,58.1,-5.94,20260817
CRAFTSMAN,0.77,17.92,51.7,9.69,20260817
CRAMC,0.18,1.24,55.6,-0.68,20260817
CREATIVEYE,0.15,6.44,84.9,-0.8,20260817
CREDITACC,0.12,5.68,53.2,3.48,20260817
CREST,0.35,-1.24,68.5,-5.85,20260817
