Date,Sector,Open,High,Low,Close,Volume,Daily_Change
2023-05-12,NIFTY BANK,43447.1484375,43905.94921875,43347.75,43793.55078125,144900,0.8
2023-05-15,NIFTY BANK,43821.05078125,44151.69921875,43666.6015625,44072.1015625,161300,0.57
2023-05-16,NIFTY BANK,44144.1484375,44144.1484375,43815.69921875,43903.69921875,222500,-0.54
2023-05-17,NIFTY BANK,43948.5,43992.75,43446.3984375,43698.69921875,203600,-0.57
2023-05-18,NIFTY BANK,44006.8984375,44079.19921875,43673.69921875,43752.30078125,226500,-0.58
2023-05-19,NIFTY BANK,43930.0,44020.8984375,43531.8984375,43969.3984375,192000,0.09
2023-05-22,NIFTY BANK,43935.30078125,44026.75,43684.8984375,43885.1015625,183800,-0.11
2023-05-23,NIFTY BANK,43978.8984375,44095.25,43852.19921875,43954.44921875,142000,-0.06
2023-05-24,NIFTY BANK,43751.94921875,44010.44921875,43639.80078125,43677.8515625,148600,-0.17
2023-05-25,NIFTY BANK,43630.25,43719.8515625,43390.30078125,43681.3984375,170200,0.12
2023-05-26,NIFTY BANK,43765.3515625,44067.6015625,43588.80078125,44018.0,143200,0.58
2023-05-29,NIFTY BANK,44276.80078125,44483.3515625,44193.94921875,44311.8984375,148600,0.08
2023-05-30,NIFTY BANK,44277.3515625,44498.6015625,44207.5,44436.3515625,157600,0.36
2023-05-31,NIFTY BANK,44318.0,44339.05078125,43822.69921875,44128.1484375,305700,-0.43
2023-06-01,NIFTY BANK,44172.05078125,44179.94921875,43706.1484375,43790.19921875,182900,-0.86
2023-06-02,NIFTY BANK,43997.30078125,44088.8984375,43812.55078125,43937.8515625,123900,-0.14
2023-06-05,NIFTY BANK,44103.25,44266.1484375,44074.19921875,44101.6484375,124500,-0.0
2023-06-06,NIFTY BANK,44156.69921875,44236.19921875,44009.69921875,44164.55078125,123600,0.02
2023-06-07,NIFTY BANK,44318.69921875,44346.30078125,44143.5,44275.30078125,119200,-0.1
2023-06-08,NIFTY BANK,44208.30078125,44459.25,43917.8984375,43995.25,160200,-0.48
2023-06-09,NIFTY BANK,44045.75,44220.1015625,43932.6015625,43989.0,132300,-0.13
2023-06-12,NIFTY BANK,44035.19921875,44124.94921875,43874.05078125,43944.19921875,91400,-0.21
2023-06-13,NIFTY BANK,43889.69921875,44138.1484375,43889.69921875,44079.8515625,160000,0.43
2023-06-14,NIFTY BANK,44181.6484375,44212.3515625,43956.1484375,43988.0,154600,-0.44
2023-06-15,NIFTY BANK,44054.3515625,44077.44921875,43397.5,43443.6015625,228200,-1.39
2023-06-16,NIFTY BANK,43583.3515625,44083.25,43536.94921875,43938.1484375,234700,0.81
2023-06-19,NIFTY BANK,44015.30078125,44040.3515625,43501.3984375,43633.75,234900,-0.87
2023-06-20,NIFTY BANK,43597.55078125,43823.94921875,43345.94921875,43766.5,161900,0.39
2023-06-21,NIFTY BANK,43894.3984375,43946.69921875,43698.94921875,43859.19921875,180000,-0.08
2023-06-22,NIFTY BANK,43874.80078125,44042.1484375,43663.3515625,43724.8515625,263800,-0.34
2023-06-23,NIFTY BANK,43641.6015625,43824.1015625,43519.55078125,43622.8984375,161300,-0.04
2023-06-26,NIFTY BANK,43714.75,43773.1015625,43541.75,43641.05078125,120700,-0.17
2023-06-27,NIFTY BANK,43804.55078125,44194.6484375,43693.1484375,44121.5,137300,0.72
2023-06-28,NIFTY BANK,44419.5,44508.3984375,44163.19921875,44327.80078125,243800,-0.21
2023-06-30,NIFTY BANK,44666.0,44787.1015625,44447.19921875,44747.3515625,191300,0.18
2023-07-03,NIFTY BANK,44957.94921875,45353.19921875,44882.1015625,45158.1015625,228200,0.45
