SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,TRADE_DATE
WEBELSOLAR,EQ, 21-Jun-2021,52.65,53.4,53.45,50.25, 52.50,52.5,52.41,148848,78.01,970, 99478, 66.83,2021-06-21
WEIZMANIND,EQ, 21-Jun-2021,57.55,57.6,60.45,56.0, 57.85,57.3,58.53,32004,18.73,660, 18644, 58.26,2021-06-21
WELCORP,EQ, 21-Jun-2021,144.55,141.9,147.85,141.0, 143.80,144.05,144.97,1877481,2721.78,22124, 807165, 42.99,2021-06-21
WELENT,EQ, 21-Jun-2021,108.4,107.85,110.65,106.1, 108.35,108.3,108.61,265155,287.99,4438, 146428, 55.22,2021-06-21
WELINV,EQ, 21-Jun-2021,397.4,405.05,409.95,354.0, 395.00,388.75,384.45,1321,5.08,279, 439, 33.23,2021-06-21
WELSPUNIND,EQ, 21-Jun-2021,92.8,92.8,92.85,90.75, 92.50,92.5,92.05,1227857,1130.26,10333, 359163, 29.25,2021-06-21
WENDT,EQ, 21-Jun-2021,3693.5,3720.0,3720.0,3655.65, 3690.00,3685.1,3689.26,584,21.55,300, 203, 34.76,2021-06-21
WESTLIFE,EQ, 21-Jun-2021,500.05,495.0,516.5,481.8, 497.00,501.35,507.24,288238,1462.06,15062, 58168, 20.18,2021-06-21
WHEELS,EQ, 21-Jun-2021,588.25,581.0,588.25,574.0, 579.80,577.8,580.28,50220,291.42,1750, 28695, 57.14,2021-06-21
WHIRLPOOL,EQ, 21-Jun-2021,2199.1,2199.0,2236.8,2171.15, 2200.00,2197.85,2202.95,89393,1969.28,8122, 43008, 48.11,2021-06-21
WILLAMAGOR,EQ, 21-Jun-2021,21.0,20.6,21.5,20.25, 20.95,20.55,20.95,18988,3.98,134, 6214, 32.73,2021-06-21
WINDMACHIN,EQ, 21-Jun-2021,37.45,36.8,38.85,36.0, 37.30,37.45,37.97,206454,78.4,401, 134112, 64.96,2021-06-21
WIPRO,EQ, 21-Jun-2021,549.8,544.75,544.75,535.2, 543.40,542.15,540.03,5390821,29112.11,101331, 1652225, 30.65,2021-06-21
WOCKPHARMA,EQ, 21-Jun-2021,590.55,583.0,608.9,578.5, 601.25,599.95,599.67,598296,3587.79,17674, 152751, 25.53,2021-06-21
WONDERLA,EQ, 21-Jun-2021,217.1,210.15,224.6,210.15, 220.50,217.75,219.76,112686,247.64,5461, 36438, 32.34,2021-06-21
WORTH,EQ, 21-Jun-2021,74.35,75.0,77.95,74.5, 74.50,74.85,75.68,35937,27.2,436, 16335, 45.45,2021-06-21
WSTCSTPAPR,EQ, 21-Jun-2021,228.2,221.0,240.2,218.8, 234.00,233.65,233.47,474920,1108.82,11824, 161668, 34.04,2021-06-21
